question,answer,category,priority
What are your opening hours?,We are open Monday-Friday 9am-6pm and Saturday 9am-2pm,General,10
Where are you located?,We have 5 locations across the city. Visit our website for addresses,General,9
Do you have parking available?,"Yes, free parking is available at all our locations",General,8
Can I speak to a pharmacist?,"Yes, our pharmacists are available during business hours for consultations",General,10
Do you accept walk-ins?,"Yes, walk-ins are welcome. We also offer appointment booking",General,7
What payment methods do you accept?,"We accept cash, credit cards, debit cards, and mobile payments",General,9
Are you open on holidays?,We are closed on major holidays. Check our website for holiday hours,General,6
Do you have a mobile app?,"Yes, download our app for easy prescription refills and delivery tracking",General,8
How can I contact customer service?,Call us at 555-0123 or email support@pharmacy.com,General,9
Do you offer health screenings?,"Yes, we offer blood pressure, glucose, and cholesterol screenings",General,7
How do I refill my prescription?,You can refill online through our website or call us at 555-0123,Prescriptions,10
How long does a prescription refill take?,Most refills are ready within 1-2 hours,Prescriptions,9
Can I transfer my prescription from another pharmacy?,"Yes, we can transfer your prescription. Just provide us with the details",Prescriptions,9
Do you offer automatic refills?,"Yes, sign up for our auto-refill program to never miss a dose",Prescriptions,8
What if my prescription has expired?,"Contact your doctor for a new prescription, then submit it to us",Prescriptions,7
Can I get a 90-day supply?,"Yes, for maintenance medications with insurance approval",Prescriptions,8
Do you send refill reminders?,"Yes, we send SMS and email reminders when refills are due",Prescriptions,7
Can family members pick up my prescription?,"Yes, with proper authorization and ID verification",Prescriptions,8
What if my medication is out of stock?,We will order it immediately and notify you when ready,Prescriptions,7
Do you compound medications?,"Yes, we offer custom compounding services",Prescriptions,6
Do you deliver medicines?,"Yes, we offer free delivery for orders over \ within 10km radius",Delivery,10
What is the delivery timeframe?,Same-day delivery for orders placed before 2pm,Delivery,9
Is there a delivery fee?,"Free for orders over \, otherwise \ delivery fee",Delivery,9
Can I track my delivery?,"Yes, you will receive a tracking link via SMS",Delivery,8
Do you deliver on weekends?,"Yes, weekend delivery available for urgent medications",Delivery,7
What areas do you deliver to?,We deliver within 20km of our locations,Delivery,8
Can I schedule a delivery time?,"Yes, you can choose a preferred delivery window",Delivery,7
What if I am not home during delivery?,We can leave it at your door or with a neighbor per your instructions,Delivery,6
Do you deliver controlled substances?,"Yes, with signature required upon delivery",Delivery,8
Can I cancel a delivery?,"Yes, cancel up to 1 hour before scheduled delivery time",Delivery,6
Do you accept insurance?,"Yes, we accept most major insurance plans",Insurance,10
How do I submit my insurance information?,Provide your insurance card when dropping off prescriptions,Insurance,9
What if my insurance doesn't cover a medication?,We can suggest generic alternatives or discount programs,Insurance,9
Do you bill insurance directly?,"Yes, we bill your insurance directly for covered medications",Insurance,8
What is a copay?,Your copay is the amount you pay after insurance coverage,Insurance,7
