name,description,stock_quantity,price,category,requires_prescription
Paracetamol,Pain relief and fever reducer,93,5.99,Painkillers,false
Ibuprofen,Anti-inflammatory pain reliever,88,7.5,Painkillers,false
Aspirin,Pain relief and blood thinner,84,4.5,Painkillers,false
Amoxicillin,Antibiotic for bacterial infections,399,12.5,Antibiotics,true
Azithromycin,Macrolide antibiotic,478,15.0,Antibiotics,true
Cetirizine,Antihistamine for allergies,278,4.99,Antihistamines,false
Loratadine,Non-drowsy antihistamine,343,6.5,Antihistamines,false
Omeprazole,Reduces stomach acid,481,15.0,Antacids,true
Ranitidine,H2 blocker for heartburn,221,8.5,Antacids,false
Metformin,Diabetes medication,284,18.0,Diabetes,true
Atorvastatin,Cholesterol medication,225,22.0,Cardiovascular,true
Lisinopril,Blood pressure medication,486,16.5,Cardiovascular,true
Albuterol,Bronchodilator for asthma,160,25.0,Respiratory,true
Prednisone,Corticosteroid anti-inflammatory,351,12.0,Respiratory,true
Vitamin D3,Vitamin supplement,276,8.99,Supplements,false
Vitamin C,Immune support vitamin,288,6.5,Supplements,false
Calcium Carbonate,Calcium supplement,453,7.99,Supplements,false
Multivitamin,Daily vitamin supplement,265,12.99,Supplements,false
OFloxacin 231mg,Treats bacterial infections,271,51.15,Antibiotics,true
FCycline,Treats bacterial infections,103,56.69,Antibiotics,true
EMycin,Treats bacterial infections,555,39.71,Antibiotics,true
TCillin 174mg,Treats bacterial infections,465,18.88,Antibiotics,true
AMycin,Treats bacterial infections,755,74.82,Antibiotics,true
ACycline,Treats bacterial infections,123,59.02,Antibiotics,true
LCycline 394mg,Treats bacterial infections,213,68.79,Antibiotics,true
CCycline,Treats bacterial infections,703,34.17,Antibiotics,true
IMycin,Treats bacterial infections,375,79.94,Antibiotics,true
TCycline 276mg,Treats bacterial infections,702,53.57,Antibiotics,true
VFloxacin,Treats bacterial infections,679,55.39,Antibiotics,true
OCillin,Treats bacterial infections,222,64.88,Antibiotics,true
CCycline 407mg,Treats bacterial infections,750,46.63,Antibiotics,true
SCycline,Treats bacterial infections,202,48.97,Antibiotics,true
IMycin,Treats bacterial infections,725,42.36,Antibiotics,true
HFloxacin 334mg,Treats bacterial infections,714,69.17,Antibiotics,true
PFloxacin,Treats bacterial infections,739,25.69,Antibiotics,true
GFloxacin,Treats bacterial infections,665,55.77,Antibiotics,true
LFloxacin 361mg,Treats bacterial infections,36,58.34,Antibiotics,true
SMycin,Treats bacterial infections,58,6.65,Antibiotics,true
BFloxacin,Treats bacterial infections,386,17.55,Antibiotics,true
RCycline 415mg,Treats bacterial infections,614,29.32,Antibiotics,true
GCycline,Treats bacterial infections,468,10.95,Antibiotics,true
BCillin,Treats bacterial infections,245,43.73,Antibiotics,true
ECillin 347mg,Treats bacterial infections,247,17.98,Antibiotics,true
CFloxacin,Treats bacterial infections,558,60.1,Antibiotics,true
PFloxacin,Treats bacterial infections,727,23.59,Antibiotics,true
GMycin 36mg,Treats bacterial infections,470,22.88,Antibiotics,true
LMycin,Treats bacterial infections,507,89.9,Antibiotics,true
CCycline,Treats bacterial infections,549,76.38,Antibiotics,true
SCillin 313mg,Treats bacterial infections,255,55.46,Antibiotics,true
BFloxacin,Treats bacterial infections,441,60.01,Antibiotics,true
DMycin,Treats bacterial infections,531,14.71,Antibiotics,true
TCycline 126mg,Treats bacterial infections,590,32.59,Antibiotics,true
RFloxacin,Treats bacterial infections,540,6.56,Antibiotics,true
OCillin,Treats bacterial infections,755,61.14,Antibiotics,true
PFloxacin 74mg,Treats bacterial infections,323,34.17,Antibiotics,true
GCycline,Treats bacterial infections,720,4.47,Antibiotics,true
FCycline,Treats bacterial infections,384,64.26,Antibiotics,true
GFloxacin 198mg,Treats bacterial infections,318,71.49,Antibiotics,true
ZCycline,Treats bacterial infections,794,5.93,Antibiotics,true
TFloxacin,Treats bacterial infections,529,18.61,Antibiotics,true
HMycin 151mg,Treats bacterial infections,213,66.35,Antibiotics,true
AFloxacin,Treats bacterial infections,690,16.28,Antibiotics,true
RFloxacin,Treats bacterial infections,66,13.17,Antibiotics,true
OCillin 305mg,Treats bacterial infections,251,62.99,Antibiotics,true
ACycline,Treats bacterial infections,335,52.22,Antibiotics,true
BCycline,Treats bacterial infections,572,49.19,Antibiotics,true
TCycline 332mg,Treats bacterial infections,184,38.74,Antibiotics,true
VCillin,Treats bacterial infections,713,62.47,Antibiotics,true
BMycin,Treats bacterial infections,720,84.94,Antibiotics,true
CFloxacin 113mg,Treats bacterial infections,521,21.05,Antibiotics,true
BCycline,Treats bacterial infections,724,63.16,Antibiotics,true
PCillin,Treats bacterial infections,788,51.48,Antibiotics,true
ZCillin 77mg,Treats bacterial infections,287,4.79,Antibiotics,true
PCycline,Treats bacterial infections,231,41.63,Antibiotics,true
HMycin,Treats bacterial infections,405,26.88,Antibiotics,true
IMycin 107mg,Treats bacterial infections,414,55.38,Antibiotics,true
LMycin,Treats bacterial infections,487,38.25,Antibiotics,true
IMycin,Treats bacterial infections,396,82.47,Antibiotics,true
ACycline 464mg,Treats bacterial infections,44,70.39,Antibiotics,true
ZFloxacin,Treats bacterial infections,698,60.86,Antibiotics,true
ACillin,Treats bacterial infections,158,18.23,Antibiotics,true
ZCycline 86mg,Treats bacterial infections,32,18.85,Antibiotics,true
FCycline,Treats bacterial infections,122,73.38,Antibiotics,true
ACycline,Treats bacterial infections,465,53.48,Antibiotics,true
OFloxacin 412mg,Treats bacterial infections,173,53.26,Antibiotics,true
RFloxacin,Treats bacterial infections,150,50.06,Antibiotics,true
ZMycin,Treats bacterial infections,93,86.6,Antibiotics,true
HCycline 170mg,Treats bacterial infections,385,49.39,Antibiotics,true
GCillin,Treats bacterial infections,672,73.99,Antibiotics,true
FFloxacin,Treats bacterial infections,543,40.77,Antibiotics,true
VCillin 156mg,Treats bacterial infections,376,77.42,Antibiotics,true
ZCillin,Treats bacterial infections,279,32.38,Antibiotics,true
SMycin,Treats bacterial infections,795,66.41,Antibiotics,true
SCillin 299mg,Treats bacterial infections,98,36.07,Antibiotics,true
HMycin,Treats bacterial infections,136,62.73,Antibiotics,true
LCycline,Treats bacterial infections,694,74.1,Antibiotics,true
ECillin 356mg,Treats bacterial infections,260,54.47,Antibiotics,true
BCillin,Treats bacterial infections,573,20.58,Antibiotics,true
IMycin,Treats bacterial infections,543,75.3,Antibiotics,true
EFloxacin 22mg,Treats bacterial infections,732,34.74,Antibiotics,true
TFloxacin,Treats bacterial infections,185,8.2,Antibiotics,true
GCillin,Treats bacterial infections,619,45.78,Antibiotics,true
LCycline 396mg,Treats bacterial infections,723,18.63,Antibiotics,true
OCycline,Treats bacterial infections,157,17.86,Antibiotics,true
TFloxacin,Treats bacterial infections,132,12.32,Antibiotics,true
NCycline 461mg,Treats bacterial infections,427,9.49,Antibiotics,true
PMycin,Treats bacterial infections,620,48.18,Antibiotics,true
RCillin,Treats bacterial infections,332,20.22,Antibiotics,true
ZCillin 230mg,Treats bacterial infections,112,9.73,Antibiotics,true
TCillin,Treats bacterial infections,484,4.54,Antibiotics,true
ZCillin,Treats bacterial infections,616,80.96,Antibiotics,true
ZCillin 44mg,Treats bacterial infections,110,79.29,Antibiotics,true
PMycin,Treats bacterial infections,680,36.23,Antibiotics,true
CFloxacin,Treats bacterial infections,477,60.17,Antibiotics,true
NCillin 307mg,Treats bacterial infections,313,80.59,Antibiotics,true
ZFloxacin,Treats bacterial infections,672,40.42,Antibiotics,true
LFen 164mg,Relieves pain and inflammation,54,54.44,Painkillers,true
PPam,Relieves pain and inflammation,198,17.14,Painkillers,false
ZPam,Relieves pain and inflammation,377,8.27,Painkillers,false
MCodone 127mg,Relieves pain and inflammation,389,79.69,Painkillers,false
HPam,Relieves pain and inflammation,532,80.2,Painkillers,false
OCodone,Relieves pain and inflammation,393,70.62,Painkillers,false
NFen 24mg,Relieves pain and inflammation,225,56.42,Painkillers,true
SPam,Relieves pain and inflammation,337,75.71,Painkillers,false
VCodone,Relieves pain and inflammation,255,87.75,Painkillers,true
HGesic 452mg,Relieves pain and inflammation,656,24.78,Painkillers,true
OPam,Relieves pain and inflammation,104,64.28,Painkillers,false
GPam,Relieves pain and inflammation,31,20.57,Painkillers,true
